alias_name,standard_name
SWin_Avg,SWin_1_Avg
SWout_Avg,SWout_1_Avg
LWin_Avg,LWin_1_Avg
LWout_Avg,LWout_1_Avg
SWnet_Avg,SWnet_1_Avg
LWnet_Avg,LWnet_1_Avg
Rin_Avg,Rin_1_Avg
Rout_Avg,Rout_1_Avg
Rnet_Avg,Rnet_1_Avg
Albedo_Avg,Albedo_1_Avg
Tsrf_Avg,Tsrf_1_Avg
Tsky_Avg,Tsky_1_Avg
Tair_1_Avg,Tair_1_Avg
Tair_2_Avg,Tair_2_Avg
RH_1_Avg,RH_1_Avg
RH_2_Avg,RH_2_Avg
VP_1_Avg,VP_1_Avg
VP_2_Avg,VP_2_Avg
VPsat_1_Avg,VPsat_1_Avg
VPsat_2_Avg,VPsat_2_Avg
VPD_1_Avg,VPD_1_Avg
VPD_2_Avg,VPD_2_Avg
WS_Avg,WS_1_Avg
WSrs_Avg,WSrs_1_Avg
WDuv_Avg,WDuv_1_Avg
WDrs_Avg,WDrs_1_Avg
WD_StdY,WD_1_StdY
WD_StdCS,WD_1_StdCS
P,P_1
Psl,Psl_1
Tsoil_TCAV_Avg,Tsoil_1_Avg
SHF_16cm_Avg,SHF_1_Avg
SHFsrf_Avg,SHFsrf_1_Avg
SM_1_H8cm_Avg,SM_1_Avg
SM_2_V31cm_Avg,SM_2_Avg
SM_3_D55cm_Avg,SM_3_Avg
Tsoil_SM1_8cm,Tsoil_2
Tsoil_SM2_16cm,Tsoil_3
Tsoil_SM3_44cm,Tsoil_4
RF_Tot,RF_1_Tot
RGtip_Tot,RGtip_1_Tot
RFint_Max,RFint_1_Max
