alias_name,standard_name
SWin_Avg,SWin_1_Avg
SWout_Avg,SWout_1_Avg
LWin_Avg,LWin_1_Avg
LWout_Avg,LWout_1_Avg
SWnet_Avg,SWnet_1_Avg
LWnet_Avg,LWnet_1_Avg
Rin_Avg,Rin_1_Avg
Rout_Avg,Rout_1_Avg
Rnet_Avg,Rnet_1_Avg
Albedo_Avg,Albedo_1_Avg
Tsrf_Avg,Tsrf_1_Avg
Tsky_Avg,Tsky_1_Avg
Tair_1_Avg,Tair_1_Avg
RH_1_Avg,RH_1_Avg
Tair_2_Avg,Tair_2_Avg
RH_2_Avg,RH_2_Avg
VP_1_Avg,VP_1_Avg
VP_2_Avg,VP_2_Avg
VPsat_1_Avg,VPsat_1_Avg
VPsat_2_Avg,VPsat_2_Avg
VPD_1_Avg,VPD_1_Avg
VPD_2_Avg,VPD_2_Avg
WS_Avg,WS_1_Avg
WSrs_Avg,WSrs_1_Avg
WDrs_Avg,WDrs_1_Avg
WD_StdCS,WD_1_StdCS
WDuv_Avg,WDuv_1_Avg
WD_StdY,WD_1_StdY
P,P_1
Psl,Psl_1
Tsoil_TCAV_Avg,Tsoil_1_Avg
SHF_1_8cm_Avg,SHF_1_Avg
SHF_2_8cm_Avg,SHF_2_Avg
SHFsrf_Avg,SHFsrf_1_Avg
SM_1_V15cm_Avg,SM_2_Avg
SM_2_H4cm_Avg,SM_1_Avg
RF_Tot,RF_1_Tot
