standard_name,alias,interval_seconds,program
"WS_1_Avg","WindSpeed_WVc(1)",300,"S110_v02.CR300;HI Mesonet 26July2022_502_fixed SHF-2.CR1X;HI Mesonet 04July2022 0502.v03.CR1X;HI Mesonet 29June2022.CR1X;HI Mesonet 30June2022.CR1X;HI Mesonet 30June2022_602.CR1X"
"WDuv_1_Avg","WindSpeed_WVc(2)",300,"S110_v02.CR300;HI Mesonet 04July2022 0502.v03.CR1X;HI Mesonet 29June2022.CR1X;HI Mesonet 30June2022.CR1X;HI Mesonet 30June2022_602.CR1X"
"Tsoil_1_Avg","Tsoil_Avg",300,"S110_v02.CR300;HI Mesonet_0506_v02p3-0.CR1X;HI Mesonet_0506_v02p3.CR1X;S141_v10_5min.CR3;S151_v12.CR3;S151_v12p1.CR3;S152_v12p1.CR3;S153_v11.CR3;S153_v12.CR3;S153_v12_p1han.CR3;S119_v10_5min.CR3;S119_v12p1.CR3;LyonArboretum_20211011.CR3;Spencer_v06.cr3;Spencer_v05.cr3;HI Mesonet_universal_CR3000_v03.CR3;HI Mesonet_universal_CR3000_v02p2.CR3;HI Mesonet_universal_CR3000_v02p1.CR3"
"SM_1_Avg","SM_Avg",300,"S110_v02.CR300"
"EC_1_Avg","EC_Avg",300,"S110_v02.CR300"
"Ka_1_Avg","P_Avg",300,"S110_v02.CR300"
"PA_1_Avg","PA_Avg",300,"S110_v02.CR300"
"VR_1_Avg","VR_Avg",300,"S110_v02.CR300"
"RF_1_Tot300s","Rainfall_Tot",300,"S110_v02.CR300;S141_v10_5min.CR3;S151_v12.CR3;S151_v12p1.CR3;S152_v12p1.CR3;S153_v11.CR3;S153_v12.CR3;S153_v12_p1han.CR3;S119_v10_5min.CR3;S119_v12p1.CR3;LyonArboretum_20211011.CR3;IPIF_v12.cr3;IPIF_v11.cr3;IPIF_v10.cr3;Spencer_v06.cr3;Spencer_v05.cr3;Laupahoehoe_v24.CR3;Laupahoehoe_v23.CR3;Palamanui_v11.CR3;Palamanui_v10.CR3;Mamalahoa_v10.CR3;Mamalahoa_v09.CR3;Puuwaawaa_v07.CR3;Puuwaawaa_v06.CR3;HI Mesonet 08August2022 0502-v2.1.CR1X;HI Mesonet 08August2022 0502-v2.CR1X;HI Mesonet 26July2022_502_fixed SHF-2.CR1X;HI Mesonet 04July2022 0502.v03.CR1X;HI Mesonet 29June2022.CR1X;HI Mesonet 30June2022.CR1X;HI Mesonet 30June2022_602.CR1X"
"Albedo_1_Avg","ShrtWvalbedo_Avg",300,"S110_v02.CR300"
"P_mbar_1","Patm_Avg",300,"S110_v02.CR300"
"Psl_mbar_1","Patm_SeaLvl_Avg",300,"S110_v02.CR300"
"Fault_Wind","BadWindCnts",300,"S110_v02.CR300"
"Fault_Temperature","BadTempCnts",300,"S110_v02.CR300"
"Fault_Dewpoint","BadDewPntCnts",300,"S110_v02.CR300"
"Fault_Humidity","BadRHCnts",300,"S110_v02.CR300"
"Fault_Pressure","BadBaroCnts",300,"S110_v02.CR300"
"Fault_Undefined","BadUnkownCnts",300,"S110_v02.CR300"
"Tair_1_Min","Tair_Min",300,"S110_v02.CR300"
"Tair_1_Max","Tair_Max",300,"S110_v02.CR300"
"RH_1_Min","RH_Min",300,"S110_v02.CR300"
"RH_1_Max","RH_Max",300,"S110_v02.CR300"
"WS_1_Max","WindSpeed_Max",300,"S110_v02.CR300;HI Mesonet 08August2022 0502-v2.1.CR1X;HI Mesonet 08August2022 0502-v2.CR1X;HI Mesonet 26July2022_502_fixed SHF-2.CR1X;HI Mesonet 04July2022 0502.v03.CR1X;HI Mesonet 29June2022.CR1X;HI Mesonet 30June2022.CR1X;HI Mesonet 30June2022_602.CR1X"
"P_mbar_1_Min","Patm_Min",300,"S110_v02.CR300"
"P_mbar_1_Max","Patm_Max",300,"S110_v02.CR300"
"Psl_mbar_1_Min","Patm_SeaLvl_Min",300,"S110_v02.CR300"
"Psl_mbar_1_Max","Patm_SeaLvl_Max",300,"S110_v02.CR300"
"SWin_1_Min","SWin_Min",300,"S110_v02.CR300"
"SWout_1_Min","SWout_Min",300,"S110_v02.CR300"
"LWin_1_Min","LWin_Min",300,"S110_v02.CR300"
"LWout_1_Min","LWout_Min",300,"S110_v02.CR300"
"SWin_1_Max","SWin_Max",300,"S110_v02.CR300"
"SWout_1_Max","SWout_Max",300,"S110_v02.CR300"
"LWin_1_Max","LWin_Max",300,"S110_v02.CR300"
"LWout_1_Max","LWout_Max",300,"S110_v02.CR300"
"SWnet_1_Min","SWnet_Min",300,"S110_v02.CR300"
"LWnet_1_Min","LWnet_Min",300,"S110_v02.CR300"
"SWnet_1_Max","SWnet_Max",300,"S110_v02.CR300"
"LWnet_1_Max","LWnet_Max",300,"S110_v02.CR300"
"Rnet_1_Min","Rnet_Min",300,"S110_v02.CR300"
"Rnet_1_Max","Rnet_Max",300,"S110_v02.CR300"
"Tpanel","Tpanel_Avg",300,"S110_v02.CR300;S151_v12.CR3;S151_v12p1.CR3;S152_v12p1.CR3;S153_v11.CR3;S153_v12.CR3;S153_v12_p1han.CR3;S119_v12p1.CR3"
"LGR_LiBattV","LithiumBattery",300,"S110_v02.CR300;S151_v12.CR3;S151_v12p1.CR3;S152_v12p1.CR3;S153_v11.CR3;S153_v12.CR3;S153_v12_p1han.CR3;S119_v12p1.CR3"
"BattVolt","BattVolt_Avg",300,"S110_v02.CR300;S151_v12.CR3;S151_v12p1.CR3;S152_v12p1.CR3;S153_v11.CR3;S153_v12.CR3;S153_v12_p1han.CR3;S119_v12p1.CR3"
"BattVolt_Min","BattVolt_Min",300,"S110_v02.CR300;S151_v12.CR3;S151_v12p1.CR3;S152_v12p1.CR3;S153_v11.CR3;S153_v12.CR3;S153_v12_p1han.CR3;S119_v12p1.CR3"
"BattVolt_Max","BattVolt_Max",300,"S110_v02.CR300;S151_v12.CR3;S151_v12p1.CR3;S152_v12p1.CR3;S153_v11.CR3;S153_v12.CR3;S153_v12_p1han.CR3;S119_v12p1.CR3"
"Nscans","Nscans",300,"S110_v02.CR300;S151_v12.CR3;S151_v12p1.CR3;S152_v12p1.CR3;S153_v11.CR3;S153_v12.CR3;S153_v12_p1han.CR3;S119_v12p1.CR3"
