station_id,standard_name,sensor_number,sensor_height
119,SHF_2_Avg,1,-0.08
121,SWin_1_Avg,0,2.87
121,SWout_1_Avg,0,2.87
121,LWin_1_Avg,0,2.87
121,LWout_1_Avg,0,2.87
121,SWnet_1_Avg,0,2.87
121,LWnet_1_Avg,0,2.87
121,Rin_1_Avg,0,2.87
121,Rout_1_Avg,0,2.87
121,Rnet_1_Avg,0,2.87
121,Albedo_1_Avg,0,2.87
121,Tsrf_1_Avg,0,2.87
121,Tsky_1_Avg,0,2.87
121,Tair_1_Avg,0,2
121,RH_1_Avg,0,2
121,VP_1_Avg,0,2
121,VPsat_1_Avg,0,2
121,VPD_1_Avg,0,2
121,Tair_2_Avg,1,2
121,RH_2_Avg,1,2
121,VP_2_Avg,1,2
121,VPsat_2_Avg,1,2
121,VPD_2_Avg,1,2
121,WS_1_Avg,0,3.15
121,WSrs_1_Avg,0,3.15
121,WDuv_1_Avg,0,3.15
121,WDrs_1_Avg,0,3.15
121,WD_1_StdY,0,3.15
121,WD_1_StdCS,0,3.15
121,P_1_Avg,0,1.4
121,Psl_1_Avg,0,1.4
121,SM_1_Avg,0,-0.08
121,SM_2_Avg,1,-0.31
121,SM_3_Avg,2,-0.61
121,Tsoil_1_Avg,0,-0.08
121,Tsoil_2_Avg,1,-0.08
121,Tsoil_3_Avg,2,-0.16
121,Tsoil_4_Avg,3,-0.46
121,SHF_1_Avg,0,-0.16
121,RF_1_Tot300s,0,1.1
121,RFint_1_Max,0,1.1
122,SWin_1_Avg,0,2.79
122,SWout_1_Avg,0,2.79
122,LWin_1_Avg,0,2.79
122,LWout_1_Avg,0,2.79
122,SWnet_1_Avg,0,2.79
122,LWnet_1_Avg,0,2.79
122,Rin_1_Avg,0,2.79
122,Rout_1_Avg,0,2.79
122,Rnet_1_Avg,0,2.79
122,Albedo_1_Avg,0,2.79
122,Tsrf_1_Avg,0,2.79
122,Tsky_1_Avg,0,2.79
122,Tair_1_Avg,0,1.95
122,RH_1_Avg,0,1.95
122,VP_1_Avg,0,1.95
122,VPsat_1_Avg,0,1.95
122,VPD_1_Avg,0,1.95
122,Tair_2_Avg,1,1.95
122,RH_2_Avg,1,1.95
122,VP_2_Avg,1,1.95
122,VPsat_2_Avg,1,1.95
122,VPD_2_Avg,1,1.95
122,WS_1_Avg,0,3.42
122,WSrs_1_Avg,0,3.42
122,WDuv_1_Avg,0,3.42
122,WDrs_1_Avg,0,3.42
122,WD_1_StdY,0,3.42
122,WD_1_StdCS,0,3.42
122,P_1_Avg,0,1.32
122,Psl_1_Avg,0,1.32
122,SM_1_Avg,0,-0.08
122,SM_2_Avg,1,-0.16
122,SM_3_Avg,2,-0.46
122,Tsoil_1_Avg,0,-0.08
122,Tsoil_2_Avg,1,-0.08
122,Tsoil_3_Avg,2,-0.16
122,Tsoil_4_Avg,3,-0.46
122,SHF_1_Avg,0,-0.16
122,RF_1_Tot300s,0,1.08
122,RFint_1_Max,0,1.08
131,SWin_1_Avg,0,2.72
131,SWout_1_Avg,0,2.72
131,LWin_1_Avg,0,2.72
131,LWout_1_Avg,0,2.72
131,SWnet_1_Avg,0,2.72
131,LWnet_1_Avg,0,2.72
131,Rin_1_Avg,0,2.72
131,Rout_1_Avg,0,2.72
131,Rnet_1_Avg,0,2.72
131,Albedo_1_Avg,0,2.72
131,Tsrf_1_Avg,0,2.72
131,Tsky_1_Avg,0,2.72
131,Tair_1_Avg,0,2
131,RH_1_Avg,0,2
131,VP_1_Avg,0,2
131,VPsat_1_Avg,0,2
131,VPD_1_Avg,0,2
131,Tair_2_Avg,1,2
131,RH_2_Avg,1,2
131,VP_2_Avg,1,2
131,VPsat_2_Avg,1,2
131,VPD_2_Avg,1,2
131,WS_1_Avg,0,3.82
131,WSrs_1_Avg,0,3.82
131,WDuv_1_Avg,0,3.82
131,WDrs_1_Avg,0,3.82
131,WD_1_StdY,0,3.82
131,WD_1_StdCS,0,3.82
131,P_1_Avg,0,1.45
131,Psl_1_Avg,0,1.45
131,SM_1_Avg,0,-0.08
131,SM_2_Avg,1,-0.31
131,SM_3_Avg,2,-0.61
131,Tsoil_1_Avg,0,-0.08
131,Tsoil_2_Avg,1,-0.08
131,Tsoil_3_Avg,2,-0.16
131,Tsoil_4_Avg,3,-0.46
131,SHF_1_Avg,0,-0.16
131,RF_1_Tot300s,0,1.22
131,RFint_1_Max,0,1.22
131,FM_1_Avg,0,0.38
131,FT_1_Avg,0,0.38
132,SWin_1_Avg,0,2.78
132,SWout_1_Avg,0,2.78
132,LWin_1_Avg,0,2.78
132,LWout_1_Avg,0,2.78
132,SWnet_1_Avg,0,2.78
132,LWnet_1_Avg,0,2.78
132,Rin_1_Avg,0,2.78
132,Rout_1_Avg,0,2.78
132,Rnet_1_Avg,0,2.78
132,Albedo_1_Avg,0,2.78
132,Tsrf_1_Avg,0,2.78
132,Tsky_1_Avg,0,2.78
132,Tair_1_Avg,0,2
132,RH_1_Avg,0,2
132,VP_1_Avg,0,2
132,VPsat_1_Avg,0,2
132,VPD_1_Avg,0,2
132,Tair_2_Avg,1,2
132,RH_2_Avg,1,2
132,VP_2_Avg,1,2
132,VPsat_2_Avg,1,2
132,VPD_2_Avg,1,2
132,WS_1_Avg,0,3.11
132,WSrs_1_Avg,0,3.11
132,WDuv_1_Avg,0,3.11
132,WDrs_1_Avg,0,3.11
132,WD_1_StdY,0,3.11
132,WD_1_StdCS,0,3.11
132,P_1_Avg,0,1.52
132,Psl_1_Avg,0,1.52
132,SM_1_Avg,0,-0.08
132,SM_2_Avg,1,-0.31
132,SM_3_Avg,2,-0.61
132,Tsoil_1_Avg,0,-0.08
132,Tsoil_2_Avg,1,-0.08
132,Tsoil_3_Avg,2,-0.16
132,Tsoil_4_Avg,3,-0.46
132,SHF_1_Avg,0,-0.16
132,RF_1_Tot300s,0,1.22
132,RFint_1_Max,0,1.22
133,SWin_1_Avg,0,2.72
133,SWout_1_Avg,0,2.72
133,LWin_1_Avg,0,2.72
133,LWout_1_Avg,0,2.72
133,SWnet_1_Avg,0,2.72
133,LWnet_1_Avg,0,2.72
